"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"108","Georgia Tech 2025-02-28_13-51",16,8,7,0,0,1,1,1,1,0,1,0,NA,NA,NA
"109","Georgia Tech 2025-02-28_13-51",17,8,8,1,1,1,5,0,0,0,0,0,"Mason Stone","Griffin Gee","Shiff Burt"
"110","Georgia Tech 2025-02-28_13-51",18,9,8,0,1,1,4,0,0,0,0,1,"Artie Aucoin","Nadav Berkman","Artie Aucoin"
"111","Georgia Tech 2025-02-28_13-51",19,10,8,0,0,4,11,4,3,1,3,1,NA,NA,NA
"112","Georgia Tech 2025-02-28_13-51",20,10,9,1,1,1,13,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Caelan McSweeney"
"113","Georgia Tech 2025-02-28_13-51",21,11,9,0,0,0,0,0,0,0,0,0,NA,NA,NA
"114","Michigan 2025-02-01_13-30",1,0,0,0,0,2,12,2,2,0,0,2,NA,NA,NA
"115","Michigan 2025-02-01_13-30",2,0,1,1,1,1,7,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Griffin Gee"
"116","Michigan 2025-02-01_13-30",3,1,1,0,1,1,3,0,0,0,1,0,"Mason Stone","Charlie Leightheiser","Calan Kirkpatrick"
"117","Michigan 2025-02-01_13-30",4,2,1,0,1,1,5,0,0,0,1,0,"Nima Lhamo","Nadav Berkman","Gavin Abrahamson"
"118","Michigan 2025-02-01_13-30",5,3,1,0,0,1,6,1,0,1,0,1,NA,NA,NA
"119","Michigan 2025-02-01_13-30",6,3,2,1,1,1,10,0,0,0,0,0,"Luca Harwood","Caelan McSweeney","Gavin Abrahamson"
"120","Michigan 2025-02-01_13-30",7,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"121","Michigan 2025-02-01_13-30",8,4,3,1,1,1,11,0,0,0,0,0,"Griffin Gee","Carter Hawkins","Ethan Lieman"
"122","Michigan 2025-02-01_13-30",9,5,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"123","Michigan 2025-02-01_13-30",10,5,4,1,1,1,3,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Roan Dunkerley"
"124","Michigan 2025-02-01_13-30",11,6,4,0,1,1,10,0,0,0,1,0,NA,"Leo Narbonne","Artie Aucoin"
"125","Michigan 2025-02-01_13-30",12,7,4,1,1,1,5,0,0,0,0,0,"Caelan McSweeney","Ethan Lieman","Luca Harwood"
"126","Michigan 2025-02-01_13-30",13,8,4,0,1,1,5,0,0,0,1,0,"Calan Kirkpatrick","Taylor Hanson",NA
"127","Michigan 2025-02-01_13-30",14,9,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
"128","Michigan 2025-02-01_13-30",15,9,5,1,1,1,3,0,0,0,0,0,"Mason Stone","Ethan Lieman","Mason Stone"
"129","Michigan 2025-02-01_13-30",16,10,5,0,0,2,9,2,1,1,2,0,NA,NA,NA
"130","Michigan 2025-02-01_13-30",17,10,6,1,1,1,2,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Gavin Abrahamson"
"131","Michigan 2025-02-01_13-30",18,11,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
"132","Michigan 2025-02-01_13-30",19,11,7,1,1,1,6,0,0,0,0,0,"Gavin Abrahamson","Griffin Gee","Gavin Abrahamson"
"133","Michigan 2025-02-01_13-30",20,12,7,0,1,2,4,1,1,0,1,1,"Artie Aucoin","Ian Buchanon","Sam Green"
"134","Michigan 2025-02-01_13-30",21,13,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"135","Pitt 2025-03-01_13-30",1,0,0,1,0,1,4,1,1,0,0,0,NA,NA,NA
"136","Pitt 2025-03-01_13-30",2,0,1,1,1,1,11,0,0,0,0,0,"Luca Harwood","Caelan McSweeney","Gavin Abrahamson"
"137","Pitt 2025-03-01_13-30",3,1,1,0,1,1,6,0,0,0,1,0,"Mason Stone","Calan Kirkpatrick","Mason Stone"
"138","Pitt 2025-03-01_13-30",4,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"139","Pitt 2025-03-01_13-30",5,2,2,1,1,1,13,0,0,0,0,0,"Gavin Abrahamson","Roan Dunkerley","Luca Harwood"
"140","Pitt 2025-03-01_13-30",6,3,2,0,1,2,21,1,1,0,1,1,"Shiff Burt","Artie Aucoin","Nima Lhamo"
"141","Pitt 2025-03-01_13-30",7,4,2,0,1,1,1,0,0,0,0,1,NA,"Mason Stone","Charlie Leightheiser"
"142","Pitt 2025-03-01_13-30",8,5,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"143","Pitt 2025-03-01_13-30",9,5,3,1,0,1,3,1,1,0,0,0,NA,NA,NA
"144","Pitt 2025-03-01_13-30",10,5,4,1,1,1,9,0,0,0,0,0,"Carter Hawkins","Caelan McSweeney","Gavin Abrahamson"
"145","Pitt 2025-03-01_13-30",11,6,4,0,1,3,18,2,2,0,2,1,NA,"Mason Stone","Calan Kirkpatrick"
"146","Pitt 2025-03-01_13-30",12,7,4,0,1,1,6,0,0,0,0,1,"Carter Hawkins","Caelan McSweeney","Carter Hawkins"
"147","Pitt 2025-03-01_13-30",13,8,4,0,0,1,4,1,1,0,0,1,NA,NA,NA
"148","Pitt 2025-03-01_13-30",14,8,5,1,1,2,6,1,1,0,0,1,"Gavin Abrahamson","Mason Stone","Gavin Abrahamson"
"149","Pitt 2025-03-01_13-30",15,9,5,0,0,2,4,2,1,1,0,2,NA,NA,NA
"150","Pitt 2025-03-01_13-30",16,9,6,1,1,2,10,1,1,0,0,1,NA,"Mason Stone","Caelan McSweeney"
"151","Pitt 2025-03-01_13-30",17,10,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
