"","game","point","possession","Thrower","Receiver","Turnover?","Thrower error?","Receiver error?","Throw to endzone?","Assist?","Secondary assist?","Huck?","Swing?","Dump?","From sideline?","To sideline?","Distance (m)","Forward distance (m)","Left-to-right distance (m)","pass.start.x","pass.start.y","pass.end.x","pass.end.y","possessionID","Started point on offense?","Scored?","possession.start.x","possession.start.y","Initiator","Passes","Secondary assist","Assist","Goal","Thrower error","Receiver error","Stalled out","line","passes"
"48","Carleton 2025-03-02_10-00",6,1,"Mason Stone","Gavin Abrahamson",0,0,0,"1",1,0,0,0,0,0,0,29.796425,22.03125,20.06118,0.71097046,0.2911932,0.16877638,0.09090909,"Carleton 2025-03-02_10-00-6-1",0,"1",0.5843882,0.4005682,"Griffin Gee",5,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson",NA,NA,NA,"dline","(0,5]"
"49","Carleton 2025-03-02_10-00",8,1,"Caelan McSweeney","Ethan Lieman",0,0,0,"0",0,0,0,1,0,0,1,13.139914,3.281252,12.723628,0.4620253,0.62002844,0.11814346,0.5901989,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"50","Carleton 2025-03-02_10-00",8,1,"Ethan Lieman","Carter Hawkins",0,0,0,"0",0,0,0,1,0,1,0,12.189488,-0.546872,-12.177215,0.11814346,0.5901989,0.44725737,0.59517044,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"51","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Luca Harwood",0,0,0,"0",0,0,0,1,0,0,0,12.057598,0.9374958,-12.021097,0.44725737,0.59517044,0.7721519,0.58664775,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"52","Carleton 2025-03-02_10-00",8,1,"Luca Harwood","Carter Hawkins",0,0,0,"0",0,0,0,1,0,0,0,13.6145935,0.9375024,13.582277,0.7721519,0.58664775,0.4050633,0.578125,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"53","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Ethan Lieman",0,0,0,"0",0,0,0,1,0,0,1,12.931279,4.765626,12.021097,0.4050633,0.578125,0.080168776,0.5348011,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"54","Carleton 2025-03-02_10-00",8,1,"Ethan Lieman","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,1,1,9.414431,9.296873,-1.4831225,0.080168776,0.5348011,0.12025317,0.4502841,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"55","Carleton 2025-03-02_10-00",8,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,0,0,0,1,1,0,8.698451,-5.234374,-6.9472566,0.12025317,0.4502841,0.30801687,0.4978693,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"56","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,0,0,7.394253,6.3281245,3.824894,0.30801687,0.4978693,0.20464136,0.4403409,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"57","Carleton 2025-03-02_10-00",8,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,0,0,0,0,0,1,6.7052264,3.1250002,5.93249,0.20464136,0.4403409,0.044303797,0.4119318,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"58","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,1,1,5.077865,4.9218745,-1.2489451,0.044303797,0.4119318,0.07805907,0.3671875,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"59","Carleton 2025-03-02_10-00",8,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,0,0,0,0,1,0,7.681295,3.4375,-6.8691983,0.07805907,0.3671875,0.2637131,0.3359375,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"60","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Luca Harwood",0,0,0,"0",0,0,0,0,1,0,0,10.8933,-5.937501,-9.132912,0.2637131,0.3359375,0.51054853,0.38991478,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"61","Carleton 2025-03-02_10-00",8,1,"Luca Harwood","Carter Hawkins",0,0,0,"0",0,0,0,0,0,0,0,7.2688746,6.406252,3.4345999,0.51054853,0.38991478,0.4177215,0.33167613,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"62","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Ethan Lieman",0,0,0,"0",0,0,0,0,0,0,0,8.047254,8.046875,-0.07805914,0.4177215,0.33167613,0.41983122,0.25852272,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"63","Carleton 2025-03-02_10-00",8,1,"Ethan Lieman","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,0,0,7.8855147,0.15624821,7.8839664,0.41983122,0.25852272,0.20675105,0.25710228,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"64","Carleton 2025-03-02_10-00",8,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,1,0,1,0,0,0,21.018808,-0.9374991,-20.99789,0.20675105,0.25710228,0.7742616,0.265625,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
"65","Carleton 2025-03-02_10-00",8,1,"Carter Hawkins","Luca Harwood",0,0,0,"1",1,0,0,0,0,0,0,13.972251,11.640625,7.727848,0.7742616,0.265625,0.56540084,0.15980114,"Carleton 2025-03-02_10-00-8-1",1,"1",0.4620253,0.62002844,"Caelan McSweeney",17,"Caelan McSweeney","Carter Hawkins","Luca Harwood",NA,NA,NA,"oline","(15,20]"
